device_id,timestamp,temperature,vaccine_type,batch
130600112767,2026-01-30T01:22:44.885920,-2.41,COVID-19,BATCH-2024-001
130600112767,2026-01-30T01:37:44.885920,-1.54,COVID-19,BATCH-2024-001
130600112767,2026-01-30T01:52:44.885920,-2.05,COVID-19,BATCH-2024-001
130600112767,2026-01-30T02:07:44.885920,-2.49,COVID-19,BATCH-2024-001
130600112767,2026-01-30T02:22:44.885920,-2.16,COVID-19,BATCH-2024-001
130600112767,2026-01-30T02:37:44.885920,-2.18,COVID-19,BATCH-2024-001
130600112767,2026-01-30T02:52:44.885920,-2.32,COVID-19,BATCH-2024-001
130600112767,2026-01-30T03:07:44.885920,-1.53,COVID-19,BATCH-2024-001
130600112767,2026-01-30T03:22:44.885920,-2.40,COVID-19,BATCH-2024-001
130600112767,2026-01-30T03:37:44.885920,-1.72,COVID-19,BATCH-2024-001
130600112767,2026-01-30T03:52:44.885920,-2.41,COVID-19,BATCH-2024-001
130600112767,2026-01-30T04:07:44.885920,-2.24,COVID-19,BATCH-2024-001
130600112767,2026-01-30T04:22:44.885920,-1.97,COVID-19,BATCH-2024-001
130600112767,2026-01-30T04:37:44.885920,-2.45,COVID-19,BATCH-2024-001
130600112767,2026-01-30T04:52:44.885920,-1.77,COVID-19,BATCH-2024-001
130600112767,2026-01-30T05:07:44.885920,-1.66,COVID-19,BATCH-2024-001
130600112767,2026-01-30T05:22:44.885920,-1.89,COVID-19,BATCH-2024-001
130600112767,2026-01-30T05:37:44.885920,-2.37,COVID-19,BATCH-2024-001
130600112767,2026-01-30T05:52:44.885920,-2.01,COVID-19,BATCH-2024-001
130600112767,2026-01-30T06:07:44.885920,-1.84,COVID-19,BATCH-2024-001
130600112767,2026-01-30T06:22:44.885920,-2.44,COVID-19,BATCH-2024-001
130600112767,2026-01-30T06:37:44.885920,-2.12,COVID-19,BATCH-2024-001
130600112767,2026-01-30T06:52:44.885920,-2.21,COVID-19,BATCH-2024-001
130600112767,2026-01-30T07:07:44.885920,-1.66,COVID-19,BATCH-2024-001
130600112767,2026-01-30T07:22:44.885920,-1.82,COVID-19,BATCH-2024-001
130600112767,2026-01-30T07:37:44.885920,-2.40,COVID-19,BATCH-2024-001
130600112767,2026-01-30T07:52:44.885920,-2.34,COVID-19,BATCH-2024-001
130600112767,2026-01-30T08:07:44.885920,-2.08,COVID-19,BATCH-2024-001
130600112767,2026-01-30T08:22:44.885920,-1.91,COVID-19,BATCH-2024-001
130600112767,2026-01-30T08:37:44.885920,-2.32,COVID-19,BATCH-2024-001
130600112767,2026-01-30T08:52:44.885920,-1.71,COVID-19,BATCH-2024-001
130600112767,2026-01-30T09:07:44.885920,-2.00,COVID-19,BATCH-2024-001
130600112767,2026-01-30T09:22:44.885920,-1.78,COVID-19,BATCH-2024-001
130600112767,2026-01-30T09:37:44.885920,-2.04,COVID-19,BATCH-2024-001
130600112767,2026-01-30T09:52:44.885920,-1.84,COVID-19,BATCH-2024-001
130600112767,2026-01-30T10:07:44.885920,-1.52,COVID-19,BATCH-2024-001
130600112767,2026-01-30T10:22:44.885920,-2.23,COVID-19,BATCH-2024-001
130600112767,2026-01-30T10:37:44.885920,-2.07,COVID-19,BATCH-2024-001
130600112767,2026-01-30T10:52:44.885920,-2.32,COVID-19,BATCH-2024-001
130600112767,2026-01-30T11:07:44.885920,-1.68,COVID-19,BATCH-2024-001
130600112767,2026-01-30T11:22:44.885920,-1.82,COVID-19,BATCH-2024-001
130600112767,2026-01-30T11:37:44.885920,-1.92,COVID-19,BATCH-2024-001
130600112767,2026-01-30T11:52:44.885920,-1.62,COVID-19,BATCH-2024-001
130600112767,2026-01-30T12:07:44.885920,-2.14,COVID-19,BATCH-2024-001
130600112767,2026-01-30T12:22:44.885920,-2.31,COVID-19,BATCH-2024-001
130600112767,2026-01-30T12:37:44.885920,-1.83,COVID-19,BATCH-2024-001
130600112767,2026-01-30T12:52:44.885920,-2.05,COVID-19,BATCH-2024-001
130600112767,2026-01-30T13:07:44.885920,-2.10,COVID-19,BATCH-2024-001
130600112767,2026-01-30T13:22:44.885920,-2.38,COVID-19,BATCH-2024-001
130600112767,2026-01-30T13:37:44.885920,-1.83,COVID-19,BATCH-2024-001
130600112767,2026-01-30T13:52:44.885920,-1.86,COVID-19,BATCH-2024-001
130600112767,2026-01-30T14:07:44.885920,-1.89,COVID-19,BATCH-2024-001
130600112767,2026-01-30T14:22:44.885920,-1.87,COVID-19,BATCH-2024-001
130600112767,2026-01-30T14:37:44.885920,-1.96,COVID-19,BATCH-2024-001
130600112767,2026-01-30T14:52:44.885920,-1.73,COVID-19,BATCH-2024-001
130600112767,2026-01-30T15:07:44.885920,-2.40,COVID-19,BATCH-2024-001
130600112767,2026-01-30T15:22:44.885920,-1.65,COVID-19,BATCH-2024-001
130600112767,2026-01-30T15:37:44.885920,-1.82,COVID-19,BATCH-2024-001
130600112767,2026-01-30T15:52:44.885920,-1.55,COVID-19,BATCH-2024-001
130600112767,2026-01-30T16:07:44.885920,-2.44,COVID-19,BATCH-2024-001
130600112767,2026-01-30T16:22:44.885920,-1.89,COVID-19,BATCH-2024-001
130600112767,2026-01-30T16:37:44.885920,-1.67,COVID-19,BATCH-2024-001
130600112767,2026-01-30T16:52:44.885920,-1.65,COVID-19,BATCH-2024-001
130600112767,2026-01-30T17:07:44.885920,-1.56,COVID-19,BATCH-2024-001
130600112767,2026-01-30T17:22:44.885920,-1.79,COVID-19,BATCH-2024-001
130600112767,2026-01-30T17:37:44.885920,-2.08,COVID-19,BATCH-2024-001
130600112767,2026-01-30T17:52:44.885920,-2.00,COVID-19,BATCH-2024-001
130600112767,2026-01-30T18:07:44.885920,-1.56,COVID-19,BATCH-2024-001
130600112767,2026-01-30T18:22:44.885920,-2.14,COVID-19,BATCH-2024-001
130600112767,2026-01-30T18:37:44.885920,-2.29,COVID-19,BATCH-2024-001
130600112767,2026-01-30T18:52:44.885920,-1.72,COVID-19,BATCH-2024-001
130600112767,2026-01-30T19:07:44.885920,-2.20,COVID-19,BATCH-2024-001
130600112767,2026-01-30T19:22:44.885920,-1.58,COVID-19,BATCH-2024-001
130600112767,2026-01-30T19:37:44.885920,-1.83,COVID-19,BATCH-2024-001
130600112767,2026-01-30T19:52:44.885920,-1.66,COVID-19,BATCH-2024-001
130600112767,2026-01-30T20:07:44.885920,-2.21,COVID-19,BATCH-2024-001
130600112767,2026-01-30T20:22:44.885920,-1.65,COVID-19,BATCH-2024-001
130600112767,2026-01-30T20:37:44.885920,-2.31,COVID-19,BATCH-2024-001
130600112767,2026-01-30T20:52:44.885920,-2.30,COVID-19,BATCH-2024-001
130600112767,2026-01-30T21:07:44.885920,-2.28,COVID-19,BATCH-2024-001
130600112767,2026-01-30T21:22:44.885920,-1.62,COVID-19,BATCH-2024-001
130600112767,2026-01-30T21:37:44.885920,-2.00,COVID-19,BATCH-2024-001
130600112767,2026-01-30T21:52:44.885920,-2.27,COVID-19,BATCH-2024-001
130600112767,2026-01-30T22:07:44.885920,-1.84,COVID-19,BATCH-2024-001
130600112767,2026-01-30T22:22:44.885920,-1.70,COVID-19,BATCH-2024-001
130600112767,2026-01-30T22:37:44.885920,-2.07,COVID-19,BATCH-2024-001
130600112767,2026-01-30T22:52:44.885920,-1.84,COVID-19,BATCH-2024-001
130600112767,2026-01-30T23:07:44.885920,-2.08,COVID-19,BATCH-2024-001
130600112767,2026-01-30T23:22:44.885920,-1.68,COVID-19,BATCH-2024-001
130600112767,2026-01-30T23:37:44.885920,-1.94,COVID-19,BATCH-2024-001
130600112767,2026-01-30T23:52:44.885920,-1.52,COVID-19,BATCH-2024-001
130600112767,2026-01-31T00:07:44.885920,-2.42,COVID-19,BATCH-2024-001
130600112767,2026-01-31T00:22:44.885920,-1.60,COVID-19,BATCH-2024-001
130600112767,2026-01-31T00:37:44.885920,-1.53,COVID-19,BATCH-2024-001
130600112767,2026-01-31T00:52:44.885920,-1.86,COVID-19,BATCH-2024-001
130600112767,2026-01-31T01:07:44.885920,-1.97,COVID-19,BATCH-2024-001
